timestamp,temperature_C,humidity_percent,cloud_cover_percent,solar_irradiance_Wm2,wind_speed_ms,load_normalize
12/17/2006 0:00,2.6,97,19,0,4.7,1.044
12/17/2006 0:15,2.35,97.25,17.25,0,5,1.658
12/17/2006 0:30,2.1,97.5,15.5,0,5.3,0.286
12/17/2006 0:45,1.85,97.75,13.75,0,5.6,2.456
12/17/2006 1:00,1.6,98,12,0,5.9,1.008
12/17/2006 1:15,1.45,98,11.5,0,6.125,5.216
12/17/2006 1:30,1.3,98,11,0,6.35,3.652
12/17/2006 1:45,1.15,98,10.5,0,6.575,2.668
12/17/2006 2:00,1,98,10,0,6.8,1.334
12/17/2006 2:15,0.875,98,13.25,0,6.8,2.228
12/17/2006 2:30,0.75,98,16.5,0,6.8,2.444
12/17/2006 2:45,0.625,98,19.75,0,6.8,2.412
12/17/2006 3:00,0.5,98,23,0,6.8,2.542
12/17/2006 3:15,0.425,97.75,40,0,6.9,2.356
12/17/2006 3:30,0.35,97.5,57,0,7,0.342
12/17/2006 3:45,0.275,97.25,74,0,7.1,0.436
12/17/2006 4:00,0.2,97,91,0,7.2,2.402
12/17/2006 4:15,0.15,97,93,0,7.25,2.486
12/17/2006 4:30,0.1,97,95,0,7.3,0.756
12/17/2006 4:45,0.05,97,97,0,7.35,3.516
12/17/2006 5:00,0,97,99,0,7.4,2.294
12/17/2006 5:15,-0.025,97,98.75,0,7.4,2.91
12/17/2006 5:30,-0.05,97,98.5,0,7.4,1.65
12/17/2006 5:45,-0.075,97,98.25,0,7.4,0.864
12/17/2006 6:00,-0.1,97,98,0,7.4,2.076
12/17/2006 6:15,-0.075,97,98.5,0,7.5,2.406
12/17/2006 6:30,-0.05,97,99,0,7.6,3.328
12/17/2006 6:45,-0.025,97,99.5,0,7.7,0.66
12/17/2006 7:00,0,97,100,0,7.8,0.222
12/17/2006 7:15,0,97.5,100,0,7.85,2.338
12/17/2006 7:30,0,98,100,0,7.9,2.336
12/17/2006 7:45,0,98.5,100,0,7.95,2.416
12/17/2006 8:00,0,99,100,0,8,2.28
12/17/2006 8:15,0.025,99,100,0.5,8.2,2.362
12/17/2006 8:30,0.05,99,100,1,8.4,1.876
12/17/2006 8:45,0.075,99,100,1.5,8.6,2.28
12/17/2006 9:00,0.1,99,100,2,8.8,2.94
12/17/2006 9:15,0.325,99,100,13.5,8.8,2.372
12/17/2006 9:30,0.55,99,100,25,8.8,2.722
12/17/2006 9:45,0.775,99,100,36.5,8.8,0.29
12/17/2006 10:00,1,99,100,48,8.8,2.292
12/17/2006 10:15,1.425,98.5,100,63,8.35,1.354
12/17/2006 10:30,1.85,98,100,78,7.9,3.678
12/17/2006 10:45,2.275,97.5,100,93,7.45,5.07
12/17/2006 11:00,2.7,97,100,108,7,3.65
12/17/2006 11:15,3.125,96,100,125.75,6.975,1.55
12/17/2006 11:30,3.55,95,100,143.5,6.95,3.844
12/17/2006 11:45,3.975,94,100,161.25,6.925,1.738
12/17/2006 12:00,4.4,93,100,179,6.9,1.962
12/17/2006 12:15,4.7,92.25,100,187.75,7.025,1.734
12/17/2006 12:30,5,91.5,100,196.5,7.15,2.014
12/17/2006 12:45,5.3,90.75,100,205.25,7.275,1.732
12/17/2006 13:00,5.6,90,100,214,7.4,1.754
12/17/2006 13:15,5.85,89,100,209.75,7.85,1.434
12/17/2006 13:30,6.1,88,100,205.5,8.3,1.44
12/17/2006 13:45,6.35,87,100,201.25,8.75,1.81
12/17/2006 14:00,6.6,86,100,197,9.2,1.744
12/17/2006 14:15,6.725,85.5,100,182.5,9.4,2.102
12/17/2006 14:30,6.85,85,100,168,9.6,2.154
12/17/2006 14:45,6.975,84.5,100,153.5,9.8,1.856
12/17/2006 15:00,7.1,84,100,139,10,2.11
12/17/2006 15:15,7.075,84.5,100,120.5,9.85,2.18
12/17/2006 15:30,7.05,85,100,102,9.7,3.054
12/17/2006 15:45,7.025,85.5,100,83.5,9.55,4.89
12/17/2006 16:00,7,86,100,65,9.4,2.818
12/17/2006 16:15,6.775,87,98.5,52.25,9.025,2.798
12/17/2006 16:30,6.55,88,97,39.5,8.65,4.806
12/17/2006 16:45,6.325,89,95.5,26.75,8.275,2.802
12/17/2006 17:00,6.1,90,94,14,7.9,3.388
12/17/2006 17:15,5.95,90.75,88,10.5,8.15,3.67
12/17/2006 17:30,5.8,91.5,82,7,8.4,3.002
12/17/2006 17:45,5.65,92.25,76,3.5,8.65,3.292
12/17/2006 18:00,5.5,93,70,0,8.9,3.328
12/17/2006 18:15,5.3,93.5,70,0,9.025,3.612
12/17/2006 18:30,5.1,94,70,0,9.15,3.624
12/17/2006 18:45,4.9,94.5,70,0,9.275,3.708
12/17/2006 19:00,4.7,95,70,0,9.4,4.078
12/17/2006 19:15,4.7,95,65.75,0,9.45,2.21
12/17/2006 19:30,4.7,95,61.5,0,9.5,2.114
12/17/2006 19:45,4.7,95,57.25,0,9.55,3.022
12/17/2006 20:00,4.7,95,53,0,9.6,2.388
12/17/2006 20:15,4.575,95.25,49.75,0,9.525,3.19
12/17/2006 20:30,4.45,95.5,46.5,0,9.45,3.614
12/17/2006 20:45,4.325,95.75,43.25,0,9.375,3.352
12/17/2006 21:00,4.2,96,40,0,9.3,3.576
12/17/2006 21:15,4.075,96,39,0,9.2,3.076
12/17/2006 21:30,3.95,96,38,0,9.1,3.096
12/17/2006 21:45,3.825,96,37,0,9,2.914
12/17/2006 22:00,3.7,96,36,0,8.9,2.69
12/17/2006 22:15,3.65,96,37.75,0,8.475,1.632
12/17/2006 22:30,3.6,96,39.5,0,8.05,1.542
12/17/2006 22:45,3.55,96,41.25,0,7.625,0.914
12/17/2006 23:00,3.5,96,43,0,7.2,1.116
12/17/2006 23:15,3.375,96.25,45.75,0,7.3,0.404
12/17/2006 23:30,3.25,96.5,48.5,0,7.4,0.47
12/17/2006 23:45,3.125,96.75,51.25,0,7.5,0.45
12/18/2006 0:00,3,97,54,0,7.6,0.278
12/18/2006 0:15,2.925,97,53,0,7.4,0.302
12/18/2006 0:30,2.85,97,52,0,7.2,0.366
12/18/2006 0:45,2.775,97,51,0,7,0.202
12/18/2006 1:00,2.7,97,50,0,6.8,0.296
12/18/2006 1:15,2.6,97.25,48.25,0,6.65,0.292
12/18/2006 1:30,2.5,97.5,46.5,0,6.5,0.374
12/18/2006 1:45,2.4,97.75,44.75,0,6.35,0.294
12/18/2006 2:00,2.3,98,43,0,6.2,0.21
12/18/2006 2:15,2.325,98,46.25,0,6.125,0.302
12/18/2006 2:30,2.35,98,49.5,0,6.05,0.286
12/18/2006 2:45,2.375,98,52.75,0,5.975,0.308
12/18/2006 3:00,2.4,98,56,0,5.9,0.21
12/18/2006 3:15,2.375,98,61.5,0,5.7,0.47
12/18/2006 3:30,2.35,98,67,0,5.5,0.298
12/18/2006 3:45,2.325,98,72.5,0,5.3,0.204
12/18/2006 4:00,2.3,98,78,0,5.1,0.378
12/18/2006 4:15,2.125,98,81.25,0,5.45,0.21
12/18/2006 4:30,1.95,98,84.5,0,5.8,1.398
12/18/2006 4:45,1.775,98,87.75,0,6.15,1.366
12/18/2006 5:00,1.6,98,91,0,6.5,0.396
12/18/2006 5:15,1.625,97.75,92,0,5.825,0.282
12/18/2006 5:30,1.65,97.5,93,0,5.15,0.26
12/18/2006 5:45,1.675,97.25,94,0,4.475,0.3
12/18/2006 6:00,1.7,97,95,0,3.8,0.214
12/18/2006 6:15,1.575,97.25,95.75,0,3.425,0.304
12/18/2006 6:30,1.45,97.5,96.5,0,3.05,0.21
12/18/2006 6:45,1.325,97.75,97.25,0,2.675,0.362
12/18/2006 7:00,1.2,98,98,0,2.3,0.684
12/18/2006 7:15,1.4,97.75,98,0,2.175,0.832
12/18/2006 7:30,1.6,97.5,98,0,2.05,3.398
12/18/2006 7:45,1.8,97.25,98,0,1.925,4.788
12/18/2006 8:00,2,97,98,0,1.8,2.128
12/18/2006 8:15,1.9,97.25,98.5,0.25,1.825,3.518
12/18/2006 8:30,1.8,97.5,99,0.5,1.85,1.402
12/18/2006 8:45,1.7,97.75,99.5,0.75,1.875,1.318
12/18/2006 9:00,1.6,98,100,1,1.9,3.678
12/18/2006 9:15,1.825,98.25,99.75,11,2,1.31
12/18/2006 9:30,2.05,98.5,99.5,21,2.1,1.322
12/18/2006 9:45,2.275,98.75,99.25,31,2.2,1.298
12/18/2006 10:00,2.5,99,99,41,2.3,1.352
12/18/2006 10:15,2.7,98.5,99.25,54.25,3.125,1.258
12/18/2006 10:30,2.9,98,99.5,67.5,3.95,1.33
12/18/2006 10:45,3.1,97.5,99.75,80.75,4.775,1.346
12/18/2006 11:00,3.3,97,100,94,5.6,1.254
12/18/2006 11:15,3.5,96.75,100,107.25,5.475,1.502
12/18/2006 11:30,3.7,96.5,100,120.5,5.35,1.498
12/18/2006 11:45,3.9,96.25,100,133.75,5.225,1.618
12/18/2006 12:00,4.1,96,100,147,5.1,1.734
12/18/2006 12:15,4.225,95,100,139.75,4.925,1.626
12/18/2006 12:30,4.35,94,100,132.5,4.75,2.414
12/18/2006 12:45,4.475,93,100,125.25,4.575,1.41
12/18/2006 13:00,4.6,92,100,118,4.4,1.48
12/18/2006 13:15,4.725,91.5,100,118.75,4.225,1.874
12/18/2006 13:30,4.85,91,100,119.5,4.05,1.732
12/18/2006 13:45,4.975,90.5,100,120.25,3.875,1.692
12/18/2006 14:00,5.1,90,100,121,3.7,0.408
12/18/2006 14:15,5.15,89.75,100,108.75,4.3,1.718
12/18/2006 14:30,5.2,89.5,100,96.5,4.9,1.794
12/18/2006 14:45,5.25,89.25,100,84.25,5.5,1.828
12/18/2006 15:00,5.3,89,100,72,6.1,1.888
12/18/2006 15:15,5.225,89.75,100,64.25,6.5,1.702
12/18/2006 15:30,5.15,90.5,100,56.5,6.9,1.926
12/18/2006 15:45,5.075,91.25,100,48.75,7.3,1.766
12/18/2006 16:00,5,92,100,41,7.7,1.68
12/18/2006 16:15,4.9,92.75,99.75,32.75,7.875,1.738
12/18/2006 16:30,4.8,93.5,99.5,24.5,8.05,1.638
12/18/2006 16:45,4.7,94.25,99.25,16.25,8.225,2.456
12/18/2006 17:00,4.6,95,99,8,8.4,1.946
12/18/2006 17:15,4.525,95.25,99,6,8.775,2.804
12/18/2006 17:30,4.45,95.5,99,4,9.15,2.186
12/18/2006 17:45,4.375,95.75,99,2,9.525,1.978
12/18/2006 18:00,4.3,96,99,0,9.9,2.786
12/18/2006 18:15,4.225,96,98.5,0,10.225,2.52
12/18/2006 18:30,4.15,96,98,0,10.55,1.696
12/18/2006 18:45,4.075,96,97.5,0,10.875,2.238
12/18/2006 19:00,4,96,97,0,11.2,1.456
12/18/2006 19:15,3.9,96,90.75,0,11.525,2.318
12/18/2006 19:30,3.8,96,84.5,0,11.85,5.436
12/18/2006 19:45,3.7,96,78.25,0,12.175,1.742
12/18/2006 20:00,3.6,96,72,0,12.5,1.616
12/18/2006 20:15,3.525,95.5,78.75,0,12.575,3.36
12/18/2006 20:30,3.45,95,85.5,0,12.65,3.204
12/18/2006 20:45,3.375,94.5,92.25,0,12.725,3.38
12/18/2006 21:00,3.3,94,99,0,12.8,3.274
12/18/2006 21:15,3.175,94,99,0,12.625,2.302
12/18/2006 21:30,3.05,94,99,0,12.45,1.974
12/18/2006 21:45,2.925,94,99,0,12.275,1.654
12/18/2006 22:00,2.8,94,99,0,12.1,1.556
12/18/2006 22:15,2.675,93.75,94.5,0,11.95,1.39
12/18/2006 22:30,2.55,93.5,90,0,11.8,1.404
12/18/2006 22:45,2.425,93.25,85.5,0,11.65,2.51
12/18/2006 23:00,2.3,93,81,0,11.5,2.502
12/18/2006 23:15,2.175,93.25,77,0,11.7,2.112
12/18/2006 23:30,2.05,93.5,73,0,11.9,1.254
12/18/2006 23:45,1.925,93.75,69,0,12.1,0.462
12/19/2006 0:00,1.8,94,65,0,12.3,0.414
12/19/2006 0:15,1.625,94.25,64.5,0,12.25,0.332
12/19/2006 0:30,1.45,94.5,64,0,12.2,0.362
12/19/2006 0:45,1.275,94.75,63.5,0,12.15,1.376
12/19/2006 1:00,1.1,95,63,0,12.1,1.292
12/19/2006 1:15,1.1,94.75,60.75,0,12.05,0.35
12/19/2006 1:30,1.1,94.5,58.5,0,12,0.332
12/19/2006 1:45,1.1,94.25,56.25,0,11.95,0.346
12/19/2006 2:00,1.1,94,54,0,11.9,0.326
12/19/2006 2:15,1.05,94.25,50.5,0,12.075,0.338
12/19/2006 2:30,1,94.5,47,0,12.25,0.364
12/19/2006 2:45,0.95,94.75,43.5,0,12.425,0.248
12/19/2006 3:00,0.9,95,40,0,12.6,0.328
12/19/2006 3:15,0.85,95,40,0,12.8,0.262
12/19/2006 3:30,0.8,95,40,0,13,0.29
12/19/2006 3:45,0.75,95,40,0,13.2,0.342
12/19/2006 4:00,0.7,95,40,0,13.4,0.244
12/19/2006 4:15,0.7,95,39,0,13.725,0.42
12/19/2006 4:30,0.7,95,38,0,14.05,0.404
12/19/2006 4:45,0.7,95,37,0,14.375,0.244
12/19/2006 5:00,0.7,95,36,0,14.7,0.42
12/19/2006 5:15,0.7,95.25,37.25,0,14.85,0.26
12/19/2006 5:30,0.7,95.5,38.5,0,15,0.256
12/19/2006 5:45,0.7,95.75,39.75,0,15.15,0.408
12/19/2006 6:00,0.7,96,41,0,15.3,0.244
12/19/2006 6:15,0.75,96,43.25,0,15.375,0.372
12/19/2006 6:30,0.8,96,45.5,0,15.45,0.42
12/19/2006 6:45,0.85,96,47.75,0,15.525,0.31
12/19/2006 7:00,0.9,96,50,0,15.6,1.37
12/19/2006 7:15,0.85,95.75,53.75,0,15.725,0.646
12/19/2006 7:30,0.8,95.5,57.5,0,15.85,1.3
12/19/2006 7:45,0.75,95.25,61.25,0,15.975,3.594
12/19/2006 8:00,0.7,95,65,0,16.1,2.914
12/19/2006 8:15,0.725,94.75,61.5,0.25,16.1,4.372
12/19/2006 8:30,0.75,94.5,58,0.5,16.1,1.828
12/19/2006 8:45,0.775,94.25,54.5,0.75,16.1,5.536
12/19/2006 9:00,0.8,94,51,1,16.1,5.994
12/19/2006 9:15,0.925,93.5,49.5,12.25,16.425,2.642
12/19/2006 9:30,1.05,93,48,23.5,16.75,0.506
12/19/2006 9:45,1.175,92.5,46.5,34.75,17.075,0.23
12/19/2006 10:00,1.3,92,45,46,17.4,0.222
12/19/2006 10:15,1.525,90.5,46.25,64.5,17.475,0.338
12/19/2006 10:30,1.75,89,47.5,83,17.55,0.41
12/19/2006 10:45,1.975,87.5,48.75,101.5,17.625,1.492
12/19/2006 11:00,2.2,86,50,120,17.7,2.41
12/19/2006 11:15,2.425,84.75,51.75,146.25,18.075,2.404
12/19/2006 11:30,2.65,83.5,53.5,172.5,18.45,1.596
